pc_time,arduino_t_ms,target_deg,angle_deg,error_deg,delta_v,va_out,vb_out,codeA,codeB,count,pid_on,p_term,i_term,d_term,isr,invalid
1773909613.2558708,8662,0.0,-0.108,0.108,0.0038,2.5238,2.4862,2075,2044,-3,1,0.00216,0.001607,0.0,11,0
1773909613.315758,8712,0.0,-0.108,0.108,0.0038,2.5238,2.4862,2075,2044,-3,1,0.00216,0.001672,0.0,11,0
1773909613.3764958,8762,0.0,-0.108,0.108,0.0039,2.5239,2.4861,2075,2044,-3,1,0.00216,0.001737,0.0,11,0
1773909613.4070551,8812,0.0,-0.108,0.108,0.004,2.524,2.486,2075,2044,-3,1,0.00216,0.001801,0.0,11,0
1773909613.470412,8862,0.0,-0.108,0.108,0.004,2.524,2.486,2075,2044,-3,1,0.00216,0.001866,0.0,11,0
1773909613.5329757,8912,0.0,-0.108,0.108,0.0041,2.5241,2.4859,2076,2044,-3,1,0.00216,0.001931,0.0,11,0
1773909613.5661495,8962,0.0,-0.108,0.108,0.0042,2.5242,2.4858,2076,2044,-3,1,0.00216,0.001996,0.0,11,0
1773909613.6277747,9012,0.0,-0.108,0.108,0.0042,2.5242,2.4858,2076,2044,-3,1,0.00216,0.002061,0.0,11,0
1773909613.657715,9062,0.0,-0.108,0.108,0.0043,2.5243,2.4857,2076,2044,-3,1,0.00216,0.002125,0.0,11,0
1773909613.7212996,9112,0.0,-0.108,0.108,0.0044,2.5244,2.4856,2076,2044,-3,1,0.00216,0.00219,0.0,11,0
1773909613.7828887,9162,0.0,-0.108,0.108,0.0044,2.5244,2.4856,2076,2044,-3,1,0.00216,0.002255,0.0,11,0
1773909613.815027,9212,0.0,-0.108,0.108,0.0045,2.5245,2.4855,2076,2044,-3,1,0.00216,0.00232,0.0,11,0
1773909613.879446,9262,0.0,-0.108,0.108,0.0045,2.5245,2.4855,2076,2044,-3,1,0.00216,0.002385,0.0,11,0
1773909613.909321,9313,0.0,-0.108,0.108,0.0046,2.5246,2.4854,2076,2044,-3,1,0.00216,0.002449,0.0,11,0
1773909613.9730597,9363,0.0,-0.108,0.108,0.0047,2.5247,2.4853,2076,2044,-3,1,0.00216,0.002514,0.0,11,0
1773909614.0086508,9413,0.0,-0.108,0.108,0.0047,2.5247,2.4853,2076,2044,-3,1,0.00216,0.002579,0.0,11,0
1773909614.0650468,9463,0.0,-0.108,0.108,0.0048,2.5248,2.4852,2076,2044,-3,1,0.00216,0.002644,0.0,11,0
1773909614.1278186,9513,0.0,-0.108,0.108,0.0049,2.5249,2.4851,2076,2043,-3,1,0.00216,0.002709,0.0,11,0
1773909614.1595042,9563,0.0,-0.108,0.108,0.0049,2.5249,2.4851,2076,2043,-3,1,0.00216,0.002773,0.0,11,0
1773909614.2203867,9613,0.0,-0.108,0.108,0.005,2.525,2.485,2076,2043,-3,1,0.00216,0.002838,0.0,11,0
1773909614.2829678,9662,0.0,-0.108,0.108,0.0051,2.5251,2.4849,2076,2043,-3,1,0.00216,0.00289,0.0,11,0
1773909614.3137987,9712,0.0,-0.108,0.108,0.0051,2.5251,2.4849,2076,2043,-3,1,0.00216,0.002955,0.0,11,0
1773909614.3765917,9762,0.0,-0.108,0.108,0.0052,2.5252,2.4848,2076,2043,-3,1,0.00216,0.00302,0.0,11,0
1773909614.4104156,9812,0.0,-0.108,0.108,0.0052,2.5252,2.4848,2076,2043,-3,1,0.00216,0.003084,0.0,11,0
1773909614.4705617,9862,0.0,-0.108,0.108,0.0053,2.5253,2.4847,2077,2043,-3,1,0.00216,0.003149,0.0,11,0
1773909614.5316079,9912,0.0,-0.108,0.108,0.0054,2.5254,2.4846,2077,2043,-3,1,0.00216,0.003214,0.0,11,0
1773909614.5628057,9962,0.0,-0.108,0.108,0.0054,2.5254,2.4846,2077,2043,-3,1,0.00216,0.003279,0.0,11,0
1773909614.6269767,10012,0.0,-0.108,0.108,0.0055,2.5255,2.4845,2077,2043,-3,1,0.00216,0.003344,0.0,11,0
